E_L93	N_L93	nb_m2	g_m2	Nb_0.25m2	g_0.25m2	Points	Annee
371272.186	6413949.313	66	379.346376787747	16.5	94.8365941969367	A_1	2003
371528.504	6413045.988	2	13.92	0.5	3.48	A_10	2003
371382.38	6414536.731	4	21.1	1	5.275	A_11	2003
370491.985	6414435.369	0	0	0	0,0	A_12	2003
373158.433	6414146.867	12	117.735355922629	3	29.4338389806574	A_13	2003
370397.339	6414644.287	50	358.064147914536	12.5	89.516036978634	A_14	2003
373181.122	6413571.005	10	62.4	2.5	15.6	A_15	2003
372944.745	6414102.446	2	10.4	0.5	2.6	A_16	2003
371881.345	6412971.819	0	0	0	0,0	A_17	2003
372682.195	6412874.165	24	223.98	6	55.995	A_18	2003
372592.528	6413935.532	30	306.8	7.5	76.7	A_19	2003
371564.675	6412728.936	6	42.6	1.5	10.65	A_2	2003
371320.536	6413613.08	0	0	0	0,0	A_20	2003
371318.524	6414076.64	18	115.18	4.5	28.795	A_21	2003
372538.861	6413919.809	10	79.4	2.5	19.85	A_23	2003
371432.674	6414237.473	18	137.712	4.5	34.428	A_24	2003
370326.592	6414555.333	2	17	0.5	4.25	A_25	2003
371530.98	6412841.937	2	27.94	0.5	6.985	A_26	2003
371201.18	6412099.23	8	141.5	2	35.375	A_27	2003
371956.517	6412893.716	18	207.517142857143	4.5	51.8792857142857	A_28	2003
372697.525	6413670.495	88	561.090888327547	22	140.272722081887	A_29	2003
371193.602	6414212.987	12	71.18	3	17.795	A_3	2003
371079.869	6414812.2	16	169.2	4	42.3	A_30	2003
373018.563	6413746.359	20	162.872123749664	5	40.7180309374159	A_31	2003
372799.814	6412849.461	50	398.211706752894	12.5	99.5529266882236	A_32	2003
371833.499	6413067.024	10	127.98	2.5	31.995	A_33	2003
372658.229	6414432.61	10	29	2.5	7.25	A_34	2003
372356.216	6414466.995	2	17.2	0.5	4.3	A_35	2003
372067.378	6414500.702	4	26.8	1	6.7	A_36	2003
372033.083	6413093.612	2	30.04	0.5	7.51	A_37	2003
371587.312	6414414.716	44	313.364437959394	11	78.3411094898484	A_38	2003
371392.18	6414221.066	2	16.7	0.5	4.175	A_39	2003
372772.515	6414092.935	2	19	0.5	4.75	A_4	2003
371211.184	6414045.216	4	32.8	1	8.2	A_40	2003
372158.329	6413717.328	54	654.279901210791	13.5	163.569975302698	A_41	2003
371448.318	6414032.73	10	71.8	2.5	17.95	A_42	2003
371608.635	6415321.959	30	238.4	7.5	59.6	A_43	2003
371570.07	6412580.346	2	19.04	0.5	4.76	A_44	2003
371257.065	6413913.033	2	12.58	0.5	3.145	A_45	2003
371565.752	6415009.068	22	248.517031185378	5.5	62.1292577963444	A_46	2003
372595.776	6412989.924	22	238.3	5.5	59.575	A_47	2003
372942.619	6413305.427	2	10.4	0.5	2.6	A_48	2003
373302.6	6413620.259	2	22.8	0.5	5.7	A_49	2003
371850.676	6414901.39	4	59.811124525976	1	14.952781131494	A_5	2003
372202.43	6413047.641	0	0	0	0,0	A_50	2003
371101.08	6412456.729	2	19.06	0.5	4.765	A_51	2003
373286.523	6413565.487	4	27	1	6.75	A_52	2003
370827.664	6414287.889	10	79.6333333333333	2.5	19.9083333333333	A_53	2003
371154.543	6414474.578	26	163.923329424082	6.5	40.9808323560204	A_54	2003
371468.23	6414661.978	20	128.464401056278	5	32.1161002640694	A_55	2003
372381.482	6413186.547	86	626.141987680365	21.5	156.535496920091	A_56	2003
372442.916	6413350.166	62	407.03	15.5	101.7575	A_57	2003
372491.173	6413514.476	18	119.32	4.5	29.83	A_58	2003
371374.014	6415130.391	0	0	0	0,0	A_59	2003
373256.302	6413492.918	0	0	0	0,0	A_6	2003
371226.563	6412079.355	0	0	0	0,0	A_60	2003
372499.095	6413161.837	64	414.9	16	103.725	A_61	2003
370215.348	6414449.979	0	0	0	0,0	A_62	2003
372672.942	6414209.384	14	39	3.5	9.75	A_63	2003
371586.867	6414155.206	0	0	0	0,0	A_64	2003
372046.317	6414854.031	2	24.4	0.5	6.1	A_65	2003
370779.35	6414624.125	0	0	0	0,0	A_66	2003
373056.916	6414226.335	6	49.8	1.5	12.45	A_67	2003
371542.652	6413063.781	0	0	0	0,0	A_68	2003
371679.967	6414669.374	0	0	0	0,0	A_69	2003
372130.458	6413941.248	12	130.4	3	32.6	A_7	2003
370840.816	6414787.727	6	71	1.5	17.75	A_70	2003
371942.019	6414377.524	0	0	0	0,0	A_71	2003
372554.708	6413214.534	26	204.72	6.5	51.18	A_72	2003
370407.582	6414588.132	0	0	0	0,0	A_73	2003
370709.584	6414553.652	2	32.2	0.5	8.05	A_74	2003
372215.606	6413046.95	2	6.44	0.5	1.61	A_75	2003
372183.574	6414197.99	58	548	14.5	137,0	A_76	2003
370551.022	6413801.952	4	27.4	1	6.85	A_77	2003
371757.255	6413627.176	4	51.38	1	12.845	A_9	2003
375714.65	6411733.421	40	316.8	10	79.2	B_1	2003
376987.196	6410277.147	8	55.2153261001647	2	13.8038315250412	B_10	2003
374486.775	6411500.707	14	107.9	3.5	26.975	B_11	2003
374817.824	6412021.053	8	69.8	2	17.45	B_13	2003
376551.456	6410540.688	10	108.6	2.5	27.15	B_15	2003
374970.19	6411901.893	8	51.2	2	12.8	B_17	2003
374634.332	6411289.101	58	503.8	14.5	125.95	B_18	2003
374311.594	6410675.639	86	632.416	21.5	158.104	B_19	2003
377529.627	6409007.106	40	200.4	10	50.1	B_2	2003
376163.682	6410709.086	62	281.503547467518	15.5	70.3758868668795	B_20	2003
376830.429	6408524.19	14	135.34	3.5	33.835	B_24	2003
374695.719	6411452.743	72	613.24	18	153.31	B_26	2003
376712.815	6409827.907	16	87.544	4	21.886	B_28	2003
374529.829	6412073.134	2	12	0.5	3,0	B_29	2003
376407.466	6409547.118	50	316.506321735426	12.5	79.1265804338565	B_3	2003
375850.724	6411299.99	4	14.2	1	3.55	B_30	2003
377502.481	6409249.494	32	205.315442859142	8	51.3288607147855	B_31	2003
375993.076	6411496.515	48	331.4	12	82.85	B_32	2003
377437.333	6409011.872	122	442.0727097194	30.5	110.51817742985	B_33	2003
376048.175	6411030.216	28	253.555162318518	7	63.3887905796294	B_34	2003
377011.648	6410238.807	6	46.32	1.5	11.58	B_35	2003
375118.04	6411949.812	2	13.8	0.5	3.45	B_37	2003
374632.056	6411752.664	84	576.203432651835	21	144.050858162959	B_38	2003
376549.832	6409743.657	12	67.8	3	16.95	B_4	2003
376756.099	6408620.724	12	68.6	3	17.15	B_40	2003
375825.581	6411579.359	18	125.8	4.5	31.45	B_41	2003
377638.748	6408816.099	10	111.8	2.5	27.95	B_42	2003
375677.994	6411790.938	16	88.2	4	22.05	B_46	2003
376455.583	6410731.03	2	14.6	0.5	3.65	B_47	2003
374395.483	6411524.005	0	0	0	0,0	B_48	2003
376954.483	6409389.039	50	321.4	12.5	80.35	B_49	2003
375635.741	6410977.477	46	373.467231923339	11.5	93.3668079808348	B_5	2003
375506.397	6411540.327	0	0	0	0,0	B_50	2003
377261.925	6408687.257	20	153.457708391687	5	38.3644270979217	B_51	2003
375030.602	6412047.051	2	8	0.5	2,0	B_52	2003
377151.286	6409360.326	72	501.2075199667	18	125.301879991675	B_53	2003
374690.858	6412120.356	16	123.4	4	30.85	B_55	2003
376617.143	6410277.761	2	6	0.5	1.5	B_56	2003
377579.503	6408948.919	2	4.5	0.5	1.125	B_58	2003
376353.008	6410791.958	2	0.6	0.5	0.15	B_6	2003
377586.789	6408577.793	2	23.1	0.5	5.775	B_63	2003
377318.672	6409018	134	600.785442383124	33.5	150.196360595781	B_65	2003
378032.397	6408758.721	6	71.1	1.5	17.775	B_66	2003
